Code departement,Code postal,Commune
1,1100,OYONNAX
1,1330,VILLARS-LES-DOMBES
1,1210,FERNEY-VOLTAIRE
1,1280,PREVESSIN-MOENS
1,1390,RANCE
1,1200,CONFORT
1,1390,CIVRIEUX
1,1220,GRILLY
1,1130,LE POIZAT-LALLEYRIAT
1,1140,GARNERANS
1,1410,LELEX
1,1100,GROISSIAT
1,1800,CHARNOZ-SUR-AIN
1,1100,APREMONT
1,1130,ECHALLON
1,1100,ARBENT
1,1110,CHAMPDOR-CORCELLES
1,1390,MIONNAY
1,1480,JASSANS-RIOTTIER
1,1150,SOUCLIN
1,1480,FAREINS
1,1170,CROZET
1,1200,INJOUX-GENISSIAT
1,1410,CHEZERY-FORENS
1,1390,SAINT-ANDRE-DE-CORCY
1,1330,LAPEYROUSE
1,1990,SAINT-TRIVIER-SUR-MOIGNANS
1,1400,CHANOZ-CHATENAY
1,1200,VALSERHONE
1,1230,ARGIS
1,1130,ST-GERMAIN-DE-JOUX
1,1230,EVOSGES
1,1210,ORNEX
1,1150,CHAZEY-SUR-AIN
1,1260,VALROMEY-SUR-SERAN
1,1300,PEYRIEU
1,1680,GROSLEE-SAINT-BENOIT
1,1230,TORCIEU
1,1110,BRENOD
1,1100,BELLIGNAT
1,1480,SAVIGNEUX
1,1600,MASSIEUX
1,1390,TRAMOYES
1,1550,POUGNY
1,1360,BELIGNEUX
1,1140,THOISSEY
1,1200,BILLIAT
1,1430,CEIGNES
1,1400,NEUVILLE-LES-DAMES
1,1660,VANDEINS
1,1540,VONNAS
1,1120,NIEVROZ
1,1090,FRANCHELEINS
1,1590,DORTAN
1,1460,MONTREAL LA CLUSE
1,1290,BIZIAT
1,1360,LOYETTES
1,1460,BEARD-GEOVREISSIAT
1,1630,SERGY
1,1580,SAMOGNAT
1,1200,MONTANGES
1,1350,POLLIEU
1,1130,NANTUA
1,1460,BRION
1,1150,VAUX-EN-BUGEY
1,1430,CONDAMINE-LA-DOYE
1,1500,SAINT-DENIS-EN-BUGEY
1,1480,VILLENEUVE
1,1500,BETTANT
1,1580,MATAFELON-GRANGES
1,1320,CHALAMONT
1,1170,ECHENEVEX
1,1430,PEYRIAT
1,1390,MONTHIEUX
1,1390,SAINT-JEAN-DE-THURIGNEUX
1,1430,ST-MARTIN-DU-FRESNE
1,1450,LEYSSARD
1,1660,MEZERIAT
1,1660,CHAVEYRIAT
1,1480,CHALEINS
1,1550,FARGES
1,1240,MARLIEUX
1,1480,BEAUREGARD
1,1600,SAINTE-EUPHEMIE
1,1350,LAVOURS
1,1300,PREMEYZEL
1,1110,ARANC
1,1990,CHANEINS
1,1460,NURIEUX-VOLOGNAT
1,1260,CHAMPAGNE-EN-VALROMEY
1,1500,SAINT-MAURICE-DE-REMENS
1,1510,SAINT-MARTIN-DE-BAVEL
1,1350,CULOZ
1,1510,ARTEMARE
1,1110,PREMILLIEU
1,1420,CHANAY
1,1170,SEGNY
1,1800,PEROUGES
1,1800,BOURG-SAINT-CHRISTOPHE
1,1330,BIRIEUX
1,1990,RELEVANT
1,1400,SANDRANS
1,1330,SAINTE-OLIVE
1,1400,ROMANS
1,1300,CUZIEU
1,1120,PIZAY
1,1350,CEYZERIEU
1,1470,BENONCES
1,1470,MONTAGNIEU
1,1600,SAINT-BERNARD
1,1400,SULIGNAT
1,1450,MERIGNAT
1,1150,SAINTE-JULIE
1,1470,BRIORD
1,1100,MARTIGNAT
1,1480,ARS-SUR-FORMANS
1,1430,MAILLAT
1,1350,CRESSIN-ROCHEFORT
1,1510,TALISSIEU
1,1320,CHATILLON-LA-PALUD
1,1580,SONTHONNAX-LA-MONTAGNE
1,1450,SERRIERES-SUR-AIN
1,1230,ARANDAS
1,1510,LA BURBANCHE
1,1150,SAINT-SORLIN-EN-BUGEY
1,1170,VESANCY
1,1420,CORBONOD
1,1800,FARAMANS
1,1430,VIEU-D IZENAVE
1,1510,ARVIERE-EN-VALROMEY
1,1630,ST-JEAN-DE-GONVILLE
1,1630,CHALLEX
1,1350,VONGNES
1,1300,GROSLEE-SAINT-BENOIT
1,1090,MONTCEAUX
1,1500,AMBUTRIX
1,1150,VILLEBOIS
1,1410,CHAMPFROMIER
1,1330,LE PLANTAY
1,1510,ROSSILLON
1,1430,IZENAVE
1,1100,GEOVREISSET
1,1360,BRESSOLLES
1,1140,MOGNENEINS
1,1450,SAINT-ALBAN
1,1400,L'ABERGEMENT-CLEMENCIAT
1,1240,LA CHAPELLE DU CHATELARD
1,1400,SAINT-GEORGES-SUR-RENOM
1,1430,CHEVILLARD
1,1120,SAINTE-CROIX
1,1140,ILLIAT
1,1450,CERDON
1,1090,LURCY
1,1130,PLAGNE
1,1150,SAULT-BRENAZ
1,1330,VERSAILLEUX
1,1230,NIVOLLET-MONTGRIFFON
1,1300,ANDERT-CONDON
1,1300,COLOMIEU
1,1230,ONCIEU
1,1300,ST-GERMAIN-LES-PAROISSES
1,1240,SAINT-ANDRE-LE-BOUCHOUX
1,1400,DOMPIERRE-SUR-CHALARONNE
1,1600,TOUSSIEUX
1,1130,BELLEYDOUX
1,1230,CHALEY
1,1320,CHATENAY
1,1220,SAUVERNY
1,1640,ABERGEMENT-DE-VAREY (L )
1,1300,CONTREVOZ
1,1600,MISERIEUX
1,1350,FLAXIEU
1,1260,RUFFIEU
1,1510,CHEIGNIEU-LA-BALME
1,1800,SAINT-ELOI
1,1300,CONZIEU
1,1400,CONDEISSIAT
1,1460,PORT
1,1170,MIJOUX
1,1130,GIRON
1,1200,VILLES
1,1430,LANTENAY
1,1430,OUTRIAZ
1,1300,IZIEU
1,1510,CHAZEY-BONS
1,1130,CHARIX
1,1420,SURJOUX-LHOPITAL
1,1540,SAINT-JULIEN-SUR-VEYLE
1,1800,LE MONTELLIER
1,1110,CORLIER
1,1450,BOLOZON
1,1680,INNIMOND
1,1680,MARCHAMP
1,1680,LOMPNAS
1,1450,LABALME
1,1200,CHEZERY-FORENS
1,1510,ARMIX
1,1460,NANTUA
1,1470,SEILLONNAZ
1,1800,JOYEUX
1,1140,VALEINS
1,1240,SAINT-GERMAIN-SUR-RENOM
2,2150,SISSONNE
2,2820,ST ERME OUTRE ET RAMECOURT
2,2350,LIESSE NOTRE DAME
2,2820,MONTAIGU
2,2700,TERGNIER
2,2300,VILLEQUIER AUMONT
2,2000,LAON
2,2300,CAUMONT
2,2000,CLACY ET THIERRET
2,2320,VAUXAILLON
2,2300,VIRY NOUREUIL
2,2000,VAUCELLES ET BEFFECOURT
2,2270,FROIDMONT COHARTILLE
2,2300,CHAUNY
2,2360,ARCHON
2,2300,SINCENY
2,2350,BUCY LES PIERREPONT
2,2840,SAMOUSSY
2,2700,LIEZ
2,2000,BARENTON BUGNY
2,2250,MARLE
2,2300,PIERREMANDE
2,2160,BEAURIEUX
2,2190,PROUVAIS
